filter_mode,confidence_threshold,directional_margin,under_confirm_ceiling,over_confirm_floor,max_discrepancy,bets,coverage,accuracy,roi_185,roi_190,roi_200,profit_190,max_losing_streak,over_bets,under_bets,over_accuracy,under_accuracy,avg_confidence
hybrid_both,0.58,0.04,0.46,0.54,0.22,1263,0.17336993822923816,0.6033254156769596,0.11615201900237533,0.14631828978622324,0.20665083135391923,184.79999999999995,8,16,1247,0.6875,0.6022453889334403,0.6202536882855446
legacy_discrepancy,0.56,0.05,0.45,0.55,0.12,1379,0.189293067947838,0.602610587382161,0.11482958665699786,0.14496011602610584,0.20522117476432197,199.89999999999995,8,70,1309,0.6142857142857143,0.6019862490450726,0.5931239061035889
hybrid_both,0.58,0.05,0.45,0.55,0.22,1038,0.14248455730954016,0.6021194605009634,0.11392100192678227,0.14402697495183045,0.20423892100192678,149.5,7,10,1028,0.8,0.6001945525291829,0.622467440296383
legacy_discrepancy,0.56,0.05,0.45,0.55,0.16,1915,0.26286890871654084,0.6015665796344648,0.11289817232375982,0.142976501305483,0.2031331592689295,273.79999999999995,8,129,1786,0.6821705426356589,0.5957446808510638,0.5971434408927816
directional_consensus,0.54,0.05,0.45,0.55,,1248,0.17131091283459163,0.6009615384615384,0.1117788461538462,0.14182692307692304,0.20192307692307693,176.99999999999994,10,13,1235,0.7692307692307693,0.5991902834008097,0.6188433959079293
legacy_discrepancy,0.56,0.05,0.45,0.55,0.2,2319,0.31832532601235414,0.6006899525657611,0.11127641224665807,0.14131090987494607,0.2013799051315222,327.69999999999993,8,202,2117,0.693069306930693,0.5918752952290978,0.5998589133697265
directional_consensus,0.54,0.04,0.46,0.54,,1669,0.2291008922443377,0.6003594967046135,0.11066506890353507,0.1406830437387657,0.20071899340922708,234.79999999999995,7,22,1647,0.7272727272727273,0.5986642380085003,0.6126895958165933
directional_consensus,0.56,0.05,0.45,0.55,,1235,0.1695264241592313,0.6,0.11000000000000004,0.13999999999999996,0.2,172.89999999999995,10,12,1223,0.75,0.598528209321341,0.6194894199281874
directional_consensus,0.56,0.04,0.46,0.54,,1606,0.22045298558682225,0.5990037359900373,0.10815691158156915,0.13810709838107096,0.1980074719800747,221.79999999999995,7,20,1586,0.7,0.5977301387137453,0.6149664245819834
directional_consensus,0.66,0.03,0.47,0.53,,174,0.023884694577899795,0.5977011494252874,0.10574712643678164,0.13563218390804596,0.19540229885057472,23.599999999999998,5,1,173,0.0,0.6011560693641619,0.6822868603342123
legacy_discrepancy,0.66,0.05,0.45,0.55,0.26,171,0.023472889498970487,0.5964912280701754,0.10350877192982458,0.1333333333333333,0.19298245614035087,22.799999999999994,6,6,165,0.5,0.6,0.6800323035155262
legacy_discrepancy,0.66,0.05,0.45,0.55,0.16,47,0.0064516129032258064,0.5957446808510638,0.1021276595744681,0.13191489361702127,0.19148936170212766,6.199999999999999,4,0,47,,0.5957446808510638,0.6753324324999709
legacy_discrepancy,0.54,0.05,0.45,0.55,0.26,3730,0.5120109814687714,0.5946380697050938,0.10008042895442361,0.12981233243967827,0.18927613941018767,484.19999999999993,9,646,3084,0.6346749226006192,0.5862516212710766,0.5884471269090723
legacy_discrepancy,0.54,0.05,0.45,0.55,0.18,2960,0.40631434454358273,0.591554054054054,0.09437500000000004,0.12395270270270266,0.1831081081081081,366.89999999999986,8,348,2612,0.6264367816091954,0.586906584992343,0.5849537379079782
legacy_discrepancy,0.54,0.05,0.45,0.55,0.12,1984,0.2723404255319149,0.5912298387096774,0.09377520161290324,0.12333669354838708,0.18245967741935484,244.69999999999996,8,152,1832,0.6118421052631579,0.5895196506550219,0.5798636607874159
legacy_discrepancy,0.64,0.05,0.45,0.55,0.22,286,0.039258750857927245,0.5909090909090909,0.09318181818181823,0.12272727272727271,0.18181818181818182,35.099999999999994,7,6,280,0.5,0.5928571428571429,0.6621040119905602
legacy_discrepancy,0.54,0.05,0.45,0.55,0.22,3413,0.468496911461908,0.5906826838558453,0.09276296513331381,0.12229709932610607,0.1813653677116906,417.4,9,501,2912,0.6307385229540918,0.5837912087912088,0.5869368533160813
directional_consensus,0.66,0.04,0.46,0.54,,166,0.022786547700754976,0.5903614457831325,0.09216867469879522,0.12168674698795179,0.18072289156626506,20.199999999999996,5,0,166,,0.5903614457831325,0.682503596579886
directional_consensus,0.64,0.05,0.45,0.55,,295,0.04049416609471517,0.5898305084745763,0.09118644067796615,0.12067796610169487,0.17966101694915254,35.59999999999999,9,1,294,1.0,0.5884353741496599,0.6663693875898974
legacy_discrepancy,0.54,0.05,0.45,0.55,0.16,2671,0.36664378860672614,0.5892923998502434,0.09019093972295024,0.11965555971546234,0.1785847997004867,319.5999999999999,8,271,2400,0.6236162361623616,0.5854166666666667,0.5836878660885024
legacy_discrepancy,0.54,0.05,0.45,0.55,0.2,3199,0.43912148249828414,0.5889340418880901,0.08952797749296658,0.11897467958737103,0.17786808377618005,380.5999999999999,8,415,2784,0.6265060240963856,0.5833333333333334,0.5860112989473419
legacy_discrepancy,0.64,0.05,0.45,0.55,0.16,145,0.01990391214824983,0.5862068965517241,0.08448275862068971,0.11379310344827581,0.1724137931034483,16.499999999999993,6,1,144,0.0,0.5902777777777778,0.6572722386382095
hybrid_both,0.64,0.04,0.46,0.54,0.16,139,0.019080301990391214,0.5827338129496403,0.07805755395683454,0.10719424460431654,0.16546762589928057,14.899999999999999,6,1,138,0.0,0.5869565217391305,0.6576948786524948
legacy_discrepancy,0.64,0.05,0.45,0.55,0.12,55,0.0075497597803706245,0.5818181818181818,0.07636363636363638,0.10545454545454544,0.16363636363636364,5.799999999999999,5,0,55,,0.5818181818181818,0.6551716900230461
directional_consensus,0.66,0.05,0.45,0.55,,152,0.020864790665751545,0.5789473684210527,0.0710526315789474,0.09999999999999998,0.15789473684210525,15.199999999999996,5,0,152,,0.5789473684210527,0.6829976345562586
hybrid_both,0.64,0.04,0.46,0.54,0.22,266,0.0365133836650652,0.5789473684210527,0.07105263157894742,0.09999999999999995,0.15789473684210525,26.599999999999987,7,2,264,0.5,0.5795454545454546,0.6625045985947299
